Scenario_ID,Variant_ID,Browser,Device,Edit_Type,Network_Speed,User_Type
TS-097,V00001,Chrome,Desktop,Username,High,Admin
TS-097,V00002,Chrome,Desktop,Username,Medium,Admin
TS-097,V00003,Chrome,Desktop,Username,Low,Admin
TS-097,V00004,Chrome,Mobile,Username,High,Admin
TS-097,V00005,Chrome,Mobile,Username,Medium,Admin
TS-097,V00006,Chrome,Mobile,Username,Low,Admin
TS-097,V00007,Chrome,Tablet,Username,High,Admin
TS-097,V00008,Chrome,Tablet,Username,Medium,Admin
TS-097,V00009,Chrome,Tablet,Username,Low,Admin
TS-097,V00010,Firefox,Desktop,Username,High,Admin
TS-097,V00011,Firefox,Desktop,Username,Medium,Admin
TS-097,V00012,Firefox,Desktop,Username,Low,Admin
TS-097,V00013,Firefox,Mobile,Username,High,Admin
TS-097,V00014,Firefox,Mobile,Username,Medium,Admin
TS-097,V00015,Firefox,Mobile,Username,Low,Admin
TS-097,V00016,Firefox,Tablet,Username,High,Admin
TS-097,V00017,Firefox,Tablet,Username,Medium,Admin
TS-097,V00018,Firefox,Tablet,Username,Low,Admin
TS-097,V00019,Safari,Desktop,Username,High,Admin
TS-097,V00020,Safari,Desktop,Username,Medium,Admin
TS-097,V00021,Safari,Desktop,Username,Low,Admin
TS-097,V00022,Safari,Mobile,Username,High,Admin
TS-097,V00023,Safari,Mobile,Username,Medium,Admin
TS-097,V00024,Safari,Mobile,Username,Low,Admin
TS-097,V00025,Safari,Tablet,Username,High,Admin
TS-097,V00026,Safari,Tablet,Username,Medium,Admin
TS-097,V00027,Safari,Tablet,Username,Low,Admin
TS-097,V00028,Edge,Desktop,Username,High,Admin
TS-097,V00029,Edge,Desktop,Username,Medium,Admin
TS-097,V00030,Edge,Desktop,Username,Low,Admin
TS-097,V00031,Edge,Mobile,Username,High,Admin
TS-097,V00032,Edge,Mobile,Username,Medium,Admin
TS-097,V00033,Edge,Mobile,Username,Low,Admin
TS-097,V00034,Edge,Tablet,Username,High,Admin
TS-097,V00035,Edge,Tablet,Username,Medium,Admin
TS-097,V00036,Edge,Tablet,Username,Low,Admin
TS-097,V00037,Chrome,Desktop,Password,High,Admin
TS-097,V00038,Chrome,Desktop,Password,Medium,Admin
TS-097,V00039,Chrome,Desktop,Password,Low,Admin
TS-097,V00040,Chrome,Mobile,Password,High,Admin
TS-097,V00041,Chrome,Mobile,Password,Medium,Admin
TS-097,V00042,Chrome,Mobile,Password,Low,Admin
TS-097,V00043,Chrome,Tablet,Password,High,Admin
TS-097,V00044,Chrome,Tablet,Password,Medium,Admin
TS-097,V00045,Chrome,Tablet,Password,Low,Admin
TS-097,V00046,Firefox,Desktop,Password,High,Admin
TS-097,V00047,Firefox,Desktop,Password,Medium,Admin
TS-097,V00048,Firefox,Desktop,Password,Low,Admin
TS-097,V00049,Firefox,Mobile,Password,High,Admin
TS-097,V00050,Firefox,Mobile,Password,Medium,Admin
TS-097,V00051,Firefox,Mobile,Password,Low,Admin
TS-097,V00052,Firefox,Tablet,Password,High,Admin
TS-097,V00053,Firefox,Tablet,Password,Medium,Admin
TS-097,V00054,Firefox,Tablet,Password,Low,Admin
TS-097,V00055,Safari,Desktop,Password,High,Admin
TS-097,V00056,Safari,Desktop,Password,Medium,Admin
TS-097,V00057,Safari,Desktop,Password,Low,Admin
TS-097,V00058,Safari,Mobile,Password,High,Admin
TS-097,V00059,Safari,Mobile,Password,Medium,Admin
TS-097,V00060,Safari,Mobile,Password,Low,Admin
TS-097,V00061,Safari,Tablet,Password,High,Admin
TS-097,V00062,Safari,Tablet,Password,Medium,Admin
TS-097,V00063,Safari,Tablet,Password,Low,Admin
TS-097,V00064,Edge,Desktop,Password,High,Admin
TS-097,V00065,Edge,Desktop,Password,Medium,Admin
TS-097,V00066,Edge,Desktop,Password,Low,Admin
TS-097,V00067,Edge,Mobile,Password,High,Admin
TS-097,V00068,Edge,Mobile,Password,Medium,Admin
TS-097,V00069,Edge,Mobile,Password,Low,Admin
TS-097,V00070,Edge,Tablet,Password,High,Admin
TS-097,V00071,Edge,Tablet,Password,Medium,Admin
TS-097,V00072,Edge,Tablet,Password,Low,Admin
TS-097,V00073,Chrome,Desktop,Role,High,Admin
TS-097,V00074,Chrome,Desktop,Role,Medium,Admin
TS-097,V00075,Chrome,Desktop,Role,Low,Admin
TS-097,V00076,Chrome,Mobile,Role,High,Admin
TS-097,V00077,Chrome,Mobile,Role,Medium,Admin
TS-097,V00078,Chrome,Mobile,Role,Low,Admin
