Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Sub_Admin_Status,User_Type
TS-099,V00001,Chrome,Desktop,High,Inactive,Admin
TS-099,V00002,Chrome,Desktop,Medium,Inactive,Admin
TS-099,V00003,Chrome,Desktop,Low,Inactive,Admin
TS-099,V00004,Chrome,Mobile,High,Inactive,Admin
TS-099,V00005,Chrome,Mobile,Medium,Inactive,Admin
TS-099,V00006,Chrome,Mobile,Low,Inactive,Admin
TS-099,V00007,Chrome,Tablet,High,Inactive,Admin
TS-099,V00008,Chrome,Tablet,Medium,Inactive,Admin
TS-099,V00009,Chrome,Tablet,Low,Inactive,Admin
TS-099,V00010,Firefox,Desktop,High,Inactive,Admin
TS-099,V00011,Firefox,Desktop,Medium,Inactive,Admin
TS-099,V00012,Firefox,Desktop,Low,Inactive,Admin
TS-099,V00013,Firefox,Mobile,High,Inactive,Admin
TS-099,V00014,Firefox,Mobile,Medium,Inactive,Admin
TS-099,V00015,Firefox,Mobile,Low,Inactive,Admin
TS-099,V00016,Firefox,Tablet,High,Inactive,Admin
TS-099,V00017,Firefox,Tablet,Medium,Inactive,Admin
TS-099,V00018,Firefox,Tablet,Low,Inactive,Admin
TS-099,V00019,Safari,Desktop,High,Inactive,Admin
TS-099,V00020,Safari,Desktop,Medium,Inactive,Admin
TS-099,V00021,Safari,Desktop,Low,Inactive,Admin
TS-099,V00022,Safari,Mobile,High,Inactive,Admin
TS-099,V00023,Safari,Mobile,Medium,Inactive,Admin
TS-099,V00024,Safari,Mobile,Low,Inactive,Admin
TS-099,V00025,Safari,Tablet,High,Inactive,Admin
TS-099,V00026,Safari,Tablet,Medium,Inactive,Admin
TS-099,V00027,Safari,Tablet,Low,Inactive,Admin
TS-099,V00028,Edge,Desktop,High,Inactive,Admin
TS-099,V00029,Edge,Desktop,Medium,Inactive,Admin
TS-099,V00030,Edge,Desktop,Low,Inactive,Admin
TS-099,V00031,Edge,Mobile,High,Inactive,Admin
TS-099,V00032,Edge,Mobile,Medium,Inactive,Admin
TS-099,V00033,Edge,Mobile,Low,Inactive,Admin
TS-099,V00034,Edge,Tablet,High,Inactive,Admin
TS-099,V00035,Edge,Tablet,Medium,Inactive,Admin
TS-099,V00036,Edge,Tablet,Low,Inactive,Admin
