Scenario_ID,Variant_ID,Browser,Device,Feedback_Type,Network_Speed,User_Type
TS-100,V00001,Chrome,Desktop,Complaint,High,Admin
TS-100,V00002,Chrome,Desktop,Complaint,Medium,Admin
TS-100,V00003,Chrome,Desktop,Complaint,Low,Admin
TS-100,V00004,Chrome,Mobile,Complaint,High,Admin
TS-100,V00005,Chrome,Mobile,Complaint,Medium,Admin
TS-100,V00006,Chrome,Mobile,Complaint,Low,Admin
TS-100,V00007,Chrome,Tablet,Complaint,High,Admin
TS-100,V00008,Chrome,Tablet,Complaint,Medium,Admin
TS-100,V00009,Chrome,Tablet,Complaint,Low,Admin
TS-100,V00010,Firefox,Desktop,Complaint,High,Admin
TS-100,V00011,Firefox,Desktop,Complaint,Medium,Admin
TS-100,V00012,Firefox,Desktop,Complaint,Low,Admin
TS-100,V00013,Firefox,Mobile,Complaint,High,Admin
TS-100,V00014,Firefox,Mobile,Complaint,Medium,Admin
TS-100,V00015,Firefox,Mobile,Complaint,Low,Admin
TS-100,V00016,Firefox,Tablet,Complaint,High,Admin
TS-100,V00017,Firefox,Tablet,Complaint,Medium,Admin
TS-100,V00018,Firefox,Tablet,Complaint,Low,Admin
TS-100,V00019,Safari,Desktop,Complaint,High,Admin
TS-100,V00020,Safari,Desktop,Complaint,Medium,Admin
TS-100,V00021,Safari,Desktop,Complaint,Low,Admin
TS-100,V00022,Safari,Mobile,Complaint,High,Admin
TS-100,V00023,Safari,Mobile,Complaint,Medium,Admin
TS-100,V00024,Safari,Mobile,Complaint,Low,Admin
TS-100,V00025,Safari,Tablet,Complaint,High,Admin
TS-100,V00026,Safari,Tablet,Complaint,Medium,Admin
TS-100,V00027,Safari,Tablet,Complaint,Low,Admin
TS-100,V00028,Edge,Desktop,Complaint,High,Admin
TS-100,V00029,Edge,Desktop,Complaint,Medium,Admin
TS-100,V00030,Edge,Desktop,Complaint,Low,Admin
TS-100,V00031,Edge,Mobile,Complaint,High,Admin
TS-100,V00032,Edge,Mobile,Complaint,Medium,Admin
TS-100,V00033,Edge,Mobile,Complaint,Low,Admin
TS-100,V00034,Edge,Tablet,Complaint,High,Admin
TS-100,V00035,Edge,Tablet,Complaint,Medium,Admin
TS-100,V00036,Edge,Tablet,Complaint,Low,Admin
TS-100,V00037,Chrome,Desktop,Question,High,Admin
TS-100,V00038,Chrome,Desktop,Question,Medium,Admin
TS-100,V00039,Chrome,Desktop,Question,Low,Admin
TS-100,V00040,Chrome,Mobile,Question,High,Admin
TS-100,V00041,Chrome,Mobile,Question,Medium,Admin
TS-100,V00042,Chrome,Mobile,Question,Low,Admin
TS-100,V00043,Chrome,Tablet,Question,High,Admin
TS-100,V00044,Chrome,Tablet,Question,Medium,Admin
TS-100,V00045,Chrome,Tablet,Question,Low,Admin
TS-100,V00046,Firefox,Desktop,Question,High,Admin
TS-100,V00047,Firefox,Desktop,Question,Medium,Admin
TS-100,V00048,Firefox,Desktop,Question,Low,Admin
TS-100,V00049,Firefox,Mobile,Question,High,Admin
TS-100,V00050,Firefox,Mobile,Question,Medium,Admin
TS-100,V00051,Firefox,Mobile,Question,Low,Admin
TS-100,V00052,Firefox,Tablet,Question,High,Admin
TS-100,V00053,Firefox,Tablet,Question,Medium,Admin
TS-100,V00054,Firefox,Tablet,Question,Low,Admin
TS-100,V00055,Safari,Desktop,Question,High,Admin
TS-100,V00056,Safari,Desktop,Question,Medium,Admin
TS-100,V00057,Safari,Desktop,Question,Low,Admin
TS-100,V00058,Safari,Mobile,Question,High,Admin
TS-100,V00059,Safari,Mobile,Question,Medium,Admin
TS-100,V00060,Safari,Mobile,Question,Low,Admin
TS-100,V00061,Safari,Tablet,Question,High,Admin
TS-100,V00062,Safari,Tablet,Question,Medium,Admin
TS-100,V00063,Safari,Tablet,Question,Low,Admin
TS-100,V00064,Edge,Desktop,Question,High,Admin
TS-100,V00065,Edge,Desktop,Question,Medium,Admin
TS-100,V00066,Edge,Desktop,Question,Low,Admin
TS-100,V00067,Edge,Mobile,Question,High,Admin
TS-100,V00068,Edge,Mobile,Question,Medium,Admin
TS-100,V00069,Edge,Mobile,Question,Low,Admin
TS-100,V00070,Edge,Tablet,Question,High,Admin
TS-100,V00071,Edge,Tablet,Question,Medium,Admin
TS-100,V00072,Edge,Tablet,Question,Low,Admin
TS-100,V00073,Chrome,Desktop,Feedback,High,Admin
TS-100,V00074,Chrome,Desktop,Feedback,Medium,Admin
TS-100,V00075,Chrome,Desktop,Feedback,Low,Admin
TS-100,V00076,Chrome,Mobile,Feedback,High,Admin
TS-100,V00077,Chrome,Mobile,Feedback,Medium,Admin
TS-100,V00078,Chrome,Mobile,Feedback,Low,Admin
TS-100,V00079,Chrome,Tablet,Feedback,High,Admin
TS-100,V00080,Chrome,Tablet,Feedback,Medium,Admin
TS-100,V00081,Chrome,Tablet,Feedback,Low,Admin
TS-100,V00082,Firefox,Desktop,Feedback,High,Admin
TS-100,V00083,Firefox,Desktop,Feedback,Medium,Admin
TS-100,V00084,Firefox,Desktop,Feedback,Low,Admin
TS-100,V00085,Firefox,Mobile,Feedback,High,Admin
TS-100,V00086,Firefox,Mobile,Feedback,Medium,Admin
TS-100,V00087,Firefox,Mobile,Feedback,Low,Admin
TS-100,V00088,Firefox,Tablet,Feedback,High,Admin
TS-100,V00089,Firefox,Tablet,Feedback,Medium,Admin
TS-100,V00090,Firefox,Tablet,Feedback,Low,Admin
TS-100,V00091,Safari,Desktop,Feedback,High,Admin
TS-100,V00092,Safari,Desktop,Feedback,Medium,Admin
TS-100,V00093,Safari,Desktop,Feedback,Low,Admin
TS-100,V00094,Safari,Mobile,Feedback,High,Admin
TS-100,V00095,Safari,Mobile,Feedback,Medium,Admin
TS-100,V00096,Safari,Mobile,Feedback,Low,Admin
TS-100,V00097,Safari,Tablet,Feedback,High,Admin
TS-100,V00098,Safari,Tablet,Feedback,Medium,Admin
TS-100,V00099,Safari,Tablet,Feedback,Low,Admin
TS-100,V00100,Edge,Desktop,Feedback,High,Admin
TS-100,V00101,Edge,Desktop,Feedback,Medium,Admin
TS-100,V00102,Edge,Desktop,Feedback,Low,Admin
TS-100,V00103,Edge,Mobile,Feedback,High,Admin
TS-100,V00104,Edge,Mobile,Feedback,Medium,Admin
TS-100,V00105,Edge,Mobile,Feedback,Low,Admin
TS-100,V00106,Edge,Tablet,Feedback,High,Admin
TS-100,V00107,Edge,Tablet,Feedback,Medium,Admin
TS-100,V00108,Edge,Tablet,Feedback,Low,Admin
