Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Payment_Status,User_Type
TS-101,V00001,Chrome,Desktop,High,Pending,Admin
TS-101,V00002,Chrome,Desktop,Medium,Pending,Admin
TS-101,V00003,Chrome,Desktop,Low,Pending,Admin
TS-101,V00004,Chrome,Mobile,High,Pending,Admin
TS-101,V00005,Chrome,Mobile,Medium,Pending,Admin
TS-101,V00006,Chrome,Mobile,Low,Pending,Admin
TS-101,V00007,Chrome,Tablet,High,Pending,Admin
TS-101,V00008,Chrome,Tablet,Medium,Pending,Admin
TS-101,V00009,Chrome,Tablet,Low,Pending,Admin
TS-101,V00010,Firefox,Desktop,High,Pending,Admin
TS-101,V00011,Firefox,Desktop,Medium,Pending,Admin
TS-101,V00012,Firefox,Desktop,Low,Pending,Admin
TS-101,V00013,Firefox,Mobile,High,Pending,Admin
TS-101,V00014,Firefox,Mobile,Medium,Pending,Admin
TS-101,V00015,Firefox,Mobile,Low,Pending,Admin
TS-101,V00016,Firefox,Tablet,High,Pending,Admin
TS-101,V00017,Firefox,Tablet,Medium,Pending,Admin
TS-101,V00018,Firefox,Tablet,Low,Pending,Admin
TS-101,V00019,Safari,Desktop,High,Pending,Admin
TS-101,V00020,Safari,Desktop,Medium,Pending,Admin
TS-101,V00021,Safari,Desktop,Low,Pending,Admin
TS-101,V00022,Safari,Mobile,High,Pending,Admin
TS-101,V00023,Safari,Mobile,Medium,Pending,Admin
TS-101,V00024,Safari,Mobile,Low,Pending,Admin
TS-101,V00025,Safari,Tablet,High,Pending,Admin
TS-101,V00026,Safari,Tablet,Medium,Pending,Admin
TS-101,V00027,Safari,Tablet,Low,Pending,Admin
TS-101,V00028,Edge,Desktop,High,Pending,Admin
TS-101,V00029,Edge,Desktop,Medium,Pending,Admin
TS-101,V00030,Edge,Desktop,Low,Pending,Admin
TS-101,V00031,Edge,Mobile,High,Pending,Admin
TS-101,V00032,Edge,Mobile,Medium,Pending,Admin
TS-101,V00033,Edge,Mobile,Low,Pending,Admin
TS-101,V00034,Edge,Tablet,High,Pending,Admin
TS-101,V00035,Edge,Tablet,Medium,Pending,Admin
TS-101,V00036,Edge,Tablet,Low,Pending,Admin
TS-101,V00037,Chrome,Desktop,High,Completed,Admin
TS-101,V00038,Chrome,Desktop,Medium,Completed,Admin
TS-101,V00039,Chrome,Desktop,Low,Completed,Admin
TS-101,V00040,Chrome,Mobile,High,Completed,Admin
TS-101,V00041,Chrome,Mobile,Medium,Completed,Admin
TS-101,V00042,Chrome,Mobile,Low,Completed,Admin
TS-101,V00043,Chrome,Tablet,High,Completed,Admin
TS-101,V00044,Chrome,Tablet,Medium,Completed,Admin
TS-101,V00045,Chrome,Tablet,Low,Completed,Admin
TS-101,V00046,Firefox,Desktop,High,Completed,Admin
TS-101,V00047,Firefox,Desktop,Medium,Completed,Admin
TS-101,V00048,Firefox,Desktop,Low,Completed,Admin
TS-101,V00049,Firefox,Mobile,High,Completed,Admin
TS-101,V00050,Firefox,Mobile,Medium,Completed,Admin
TS-101,V00051,Firefox,Mobile,Low,Completed,Admin
TS-101,V00052,Firefox,Tablet,High,Completed,Admin
TS-101,V00053,Firefox,Tablet,Medium,Completed,Admin
TS-101,V00054,Firefox,Tablet,Low,Completed,Admin
TS-101,V00055,Safari,Desktop,High,Completed,Admin
TS-101,V00056,Safari,Desktop,Medium,Completed,Admin
TS-101,V00057,Safari,Desktop,Low,Completed,Admin
TS-101,V00058,Safari,Mobile,High,Completed,Admin
TS-101,V00059,Safari,Mobile,Medium,Completed,Admin
TS-101,V00060,Safari,Mobile,Low,Completed,Admin
TS-101,V00061,Safari,Tablet,High,Completed,Admin
TS-101,V00062,Safari,Tablet,Medium,Completed,Admin
TS-101,V00063,Safari,Tablet,Low,Completed,Admin
TS-101,V00064,Edge,Desktop,High,Completed,Admin
TS-101,V00065,Edge,Desktop,Medium,Completed,Admin
TS-101,V00066,Edge,Desktop,Low,Completed,Admin
TS-101,V00067,Edge,Mobile,High,Completed,Admin
TS-101,V00068,Edge,Mobile,Medium,Completed,Admin
TS-101,V00069,Edge,Mobile,Low,Completed,Admin
TS-101,V00070,Edge,Tablet,High,Completed,Admin
TS-101,V00071,Edge,Tablet,Medium,Completed,Admin
TS-101,V00072,Edge,Tablet,Low,Completed,Admin
TS-101,V00073,Chrome,Desktop,High,Failed,Admin
TS-101,V00074,Chrome,Desktop,Medium,Failed,Admin
TS-101,V00075,Chrome,Desktop,Low,Failed,Admin
TS-101,V00076,Chrome,Mobile,High,Failed,Admin
TS-101,V00077,Chrome,Mobile,Medium,Failed,Admin
TS-101,V00078,Chrome,Mobile,Low,Failed,Admin
TS-101,V00079,Chrome,Tablet,High,Failed,Admin
TS-101,V00080,Chrome,Tablet,Medium,Failed,Admin
TS-101,V00081,Chrome,Tablet,Low,Failed,Admin
TS-101,V00082,Firefox,Desktop,High,Failed,Admin
TS-101,V00083,Firefox,Desktop,Medium,Failed,Admin
TS-101,V00084,Firefox,Desktop,Low,Failed,Admin
TS-101,V00085,Firefox,Mobile,High,Failed,Admin
TS-101,V00086,Firefox,Mobile,Medium,Failed,Admin
TS-101,V00087,Firefox,Mobile,Low,Failed,Admin
TS-101,V00088,Firefox,Tablet,High,Failed,Admin
TS-101,V00089,Firefox,Tablet,Medium,Failed,Admin
TS-101,V00090,Firefox,Tablet,Low,Failed,Admin
TS-101,V00091,Safari,Desktop,High,Failed,Admin
TS-101,V00092,Safari,Desktop,Medium,Failed,Admin
TS-101,V00093,Safari,Desktop,Low,Failed,Admin
TS-101,V00094,Safari,Mobile,High,Failed,Admin
TS-101,V00095,Safari,Mobile,Medium,Failed,Admin
TS-101,V00096,Safari,Mobile,Low,Failed,Admin
TS-101,V00097,Safari,Tablet,High,Failed,Admin
TS-101,V00098,Safari,Tablet,Medium,Failed,Admin
TS-101,V00099,Safari,Tablet,Low,Failed,Admin
TS-101,V00100,Edge,Desktop,High,Failed,Admin
TS-101,V00101,Edge,Desktop,Medium,Failed,Admin
TS-101,V00102,Edge,Desktop,Low,Failed,Admin
TS-101,V00103,Edge,Mobile,High,Failed,Admin
TS-101,V00104,Edge,Mobile,Medium,Failed,Admin
TS-101,V00105,Edge,Mobile,Low,Failed,Admin
TS-101,V00106,Edge,Tablet,High,Failed,Admin
TS-101,V00107,Edge,Tablet,Medium,Failed,Admin
TS-101,V00108,Edge,Tablet,Low,Failed,Admin
